Start,Destination,Hour,Capacity
Bbcountry,Nwcity,19,0.014406164436614433
Bbcountry,Nwcity,20,0.010142359179588828
Bbcountry,Nwcity,21,0.006329076961167363
Bbcountry,Nwcity,22,0.0029553509795658423
Bbcountry,Nwcity,23,0.0
Bbcountry,Rpcity,0,0.0
Bbcountry,Rpcity,1,0.01462963602230278
Bbcountry,Rpcity,2,0.02925927204460556
Bbcountry,Rpcity,3,0.043888908066908344
Bbcountry,Rpcity,4,0.05851854408921112
Bbcountry,Rpcity,5,0.07314818011151392
Bbcountry,Rpcity,6,0.08777781613381669
Bbcountry,Rpcity,7,0.10240745215611946
Bbcountry,Rpcity,8,0.11703708817842225
Bbcountry,Rpcity,9,0.06583336210036252
Bbcountry,Rpcity,10,0.06330089249849123
Bbcountry,Rpcity,11,0.05887254130163874
Bbcountry,Rpcity,12,0.053505653356002575
Bbcountry,Rpcity,13,0.047648666177171096
Bbcountry,Rpcity,14,0.04160442254933941
Bbcountry,Rpcity,15,0.03559205622074213
Bbcountry,Rpcity,16,0.02977099253190013
Bbcountry,Rpcity,17,0.024254198958102675
Bbcountry,Rpcity,18,0.019117365946412855
Bbcountry,Rpcity,19,0.014406164436614433
Bbcountry,Rpcity,20,0.010142359179588828
Bbcountry,Rpcity,21,0.006329076961167363
Bbcountry,Rpcity,22,0.0029553509795658423
Bbcountry,Rpcity,23,0.0
Bbcountry,Shcity,0,0.0
Bbcountry,Shcity,1,0.01462963602230278
Bbcountry,Shcity,2,0.02925927204460556
Bbcountry,Shcity,3,0.043888908066908344
Bbcountry,Shcity,4,0.05851854408921112
Bbcountry,Shcity,5,0.07314818011151392
Bbcountry,Shcity,6,0.08777781613381669
Bbcountry,Shcity,7,0.10240745215611946
Bbcountry,Shcity,8,0.11703708817842225
Bbcountry,Shcity,9,0.06583336210036252
Bbcountry,Shcity,10,0.06330089249849123
