region,fuel,hour,Power
Nicountry,Power,5101,8.66668921991633
Nicountry,Power,5102,8.54739392545351
Nicountry,Power,5103,8.409580345937266
Nicountry,Power,5104,8.171258135074284
Nicountry,Power,5105,8.106712533193733
Nicountry,Power,5106,7.995468665780658
Nicountry,Power,5107,7.8092123455808675
Nicountry,Power,5108,7.513993389244342
Nicountry,Power,5109,7.301301549521464
Nicountry,Power,5110,6.96689898438184
Nicountry,Power,5111,6.372166980121259
Nicountry,Power,5112,5.974560717609374
Hbcountry,Power,5088,0.0
Hbcountry,Power,5089,0.0
Hbcountry,Power,5090,0.0
Hbcountry,Power,5091,0.0
Hbcountry,Power,5092,0.0
Hbcountry,Power,5093,0.0
Hbcountry,Power,5094,0.0
Hbcountry,Power,5095,0.0
Hbcountry,Power,5096,0.0
Hbcountry,Power,5097,0.0
Hbcountry,Power,5098,0.0
Hbcountry,Power,5099,0.0
Hbcountry,Power,5100,0.0
Hbcountry,Power,5101,0.0
Hbcountry,Power,5102,0.0
Hbcountry,Power,5103,0.0
Hbcountry,Power,5104,0.0
Hbcountry,Power,5105,0.0
Hbcountry,Power,5106,0.0
Hbcountry,Power,5107,0.0
Hbcountry,Power,5108,0.0
Hbcountry,Power,5109,0.0
Hbcountry,Power,5110,0.0
Hbcountry,Power,5111,0.0
Hbcountry,Power,5112,0.0
Nwcountry,Power,5088,8.198850308364188
Nwcountry,Power,5089,7.910887537568229
Nwcountry,Power,5090,7.768714234919304
Nwcountry,Power,5091,7.792314626024849
Nwcountry,Power,5092,7.979404786156519
Nwcountry,Power,5093,8.471206384337522
Nwcountry,Power,5094,9.62077358305931
Nwcountry,Power,5095,10.723710985785383
Nwcountry,Power,5096,11.39232515328651
Nwcountry,Power,5097,11.75908277354888
Nwcountry,Power,5098,12.133643741222564
Nwcountry,Power,5099,12.48955278445801
Nwcountry,Power,5100,12.38278007350069
Nwcountry,Power,5101,12.292185043581371
Nwcountry,Power,5102,12.122985503000674
Nwcountry,Power,5103,11.927521009242316
Nwcountry,Power,5104,11.589502575491267
Nwcountry,Power,5105,11.497955911946233
Nwcountry,Power,5106,11.34017591447468
Nwcountry,Power,5107,11.076003853456147
Nwcountry,Power,5108,10.657287323120409
Nwcountry,Power,5109,10.355621094553529
Nwcountry,Power,5110,9.881329458446587
Nwcountry,Power,5111,9.037805978810187
Nwcountry,Power,5112,8.473870936343063
Hecountry,Power,5088,1.8453471813383708
Hecountry,Power,5089,1.7805342786224128
Hecountry,Power,5090,1.7485347794929906
Hecountry,Power,5091,1.7538466114654163
Hecountry,Power,5092,1.79595572270299
Hecountry,Power,5093,1.9066474244474618
Hecountry,Power,5094,2.1653849925374864
Hecountry,Power,5095,2.4136274107746964
Hecountry,Power,5096,2.564115006351652
Hecountry,Power,5097,2.646662572819
Hecountry,Power,5098,2.7309664690897817
Hecountry,Power,5099,2.8110723040600027
Hecountry,Power,5100,2.7870405540220817
Hecountry,Power,5101,2.7666499776830635
Hecountry,Power,5102,2.728567577889058
Hecountry,Power,5103,2.6845736227560133
Hecountry,Power,5104,2.6084944969636363
Hecountry,Power,5105,2.587889732736947
Hecountry,Power,5106,2.5523775740006576
Hecountry,Power,5107,2.4929193390220807
Hecountry,Power,5108,2.398677178234417
Hecountry,Power,5109,2.330779984889765
Hecountry,Power,5110,2.224029318527503
Hecountry,Power,5111,2.034174202627683
Hecountry,Power,5112,1.9072471455483506
Rpcountry,Power,5088,1.3934638843973792
Rpcountry,Power,5089,1.3445221784186994
Rpcountry,Power,5090,1.3203586243695824
Rpcountry,Power,5091,1.3243697102445962
Rpcountry,Power,5092,1.356167263738608
Rpcountry,Power,5093,1.439753100725412
Rpcountry,Power,5094,1.635131759178597
Rpcountry,Power,5095,1.822585289813488
Rpcountry,Power,5096,1.9362219168975026
Rpcountry,Power,5097,1.9985554733037918
Rpcountry,Power,5098,2.0622152745354043
Rpcountry,Power,5099,2.122705023613159
Rpcountry,Power,5100,2.1045580992320128
Rpcountry,Power,5101,2.089160708433246
Rpcountry,Power,5102,2.0604038168950143
Rpcountry,Power,5103,2.0271829746439463
Rpcountry,Power,5104,1.9697338858110713
Rpcountry,Power,5105,1.9541747568369825
Rpcountry,Power,5106,1.9273587131372185
Rpcountry,Power,5107,1.8824604392998971
Rpcountry,Power,5108,1.8112960271105685
Rpcountry,Power,5109,1.7600253026991866
Rpcountry,Power,5110,1.6794154317136736
Rpcountry,Power,5111,1.5360514891721926
Rpcountry,Power,5112,1.4402059638523355
Bwcountry,Power,5088,5.776509959624295
Bwcountry,Power,5089,5.573625439119401
Bwcountry,Power,5090,5.473457065767546
Bwcountry,Power,5091,5.490084750033612
Bwcountry,Power,5092,5.621899349971578
Bwcountry,Power,5093,5.968398764304527
Bwcountry,Power,5094,6.778327732747749
Bwcountry,Power,5095,7.555403621691557
Bwcountry,Power,5096,8.0264765468523
