StartRegion,DestRegion,Drive
Bycity,Hhcountry,0.0
Hbcity,Hhcountry,0.0
Hecity,Hhcountry,0.0
Hhcity,Hhcountry,0.0
Mvcity,Hhcountry,0.0
Nicity,Hhcountry,0.0
Nwcity,Hhcountry,0.0
Rpcity,Hhcountry,0.0
Shcity,Hhcountry,0.0
Slcity,Hhcountry,0.0
Sncity,Hhcountry,0.0
Stcity,Hhcountry,0.0
Thcity,Hhcountry,0.0
Bbcountry,Mvcountry,0.0
Becountry,Mvcountry,0.0
Bwcountry,Mvcountry,0.0
Bycountry,Mvcountry,0.0
Hbcountry,Mvcountry,0.0
Hecountry,Mvcountry,0.0
Hhcountry,Mvcountry,0.0
Mvcountry,Mvcountry,0.0
Nicountry,Mvcountry,0.0
Nwcountry,Mvcountry,0.0
Rpcountry,Mvcountry,0.0
Shcountry,Mvcountry,0.0
Slcountry,Mvcountry,0.0
Sncountry,Mvcountry,0.0
Stcountry,Mvcountry,0.0
Thcountry,Mvcountry,0.0
Bbcity,Mvcountry,0.0
Becity,Mvcountry,0.0
Bwcity,Mvcountry,0.0
Bycity,Mvcountry,0.0
Hbcity,Mvcountry,0.0
Hecity,Mvcountry,0.0
Hhcity,Mvcountry,0.0
Mvcity,Mvcountry,0.0
Nicity,Mvcountry,0.0
Nwcity,Mvcountry,0.0
Rpcity,Mvcountry,0.0
Shcity,Mvcountry,0.0
Slcity,Mvcountry,0.0
Sncity,Mvcountry,0.0
Stcity,Mvcountry,0.0
Thcity,Mvcountry,0.0
Bbcountry,Nicountry,0.0
Becountry,Nicountry,0.0
Bwcountry,Nicountry,0.0
Bycountry,Nicountry,0.0
Hbcountry,Nicountry,0.0
Hecountry,Nicountry,0.0
Hhcountry,Nicountry,0.0
Mvcountry,Nicountry,0.0
Nicountry,Nicountry,0.0
Nwcountry,Nicountry,0.0
Rpcountry,Nicountry,0.0
Shcountry,Nicountry,0.0
Slcountry,Nicountry,0.0
Sncountry,Nicountry,0.0
Stcountry,Nicountry,0.0
Thcountry,Nicountry,0.0
Bbcity,Nicountry,0.0
Becity,Nicountry,0.0
Bwcity,Nicountry,0.0
Bycity,Nicountry,0.0
Hbcity,Nicountry,0.0
Hecity,Nicountry,0.0
Hhcity,Nicountry,0.0
Mvcity,Nicountry,0.0
Nicity,Nicountry,0.0
Nwcity,Nicountry,0.0
Rpcity,Nicountry,0.0
Shcity,Nicountry,0.0
Slcity,Nicountry,0.0
Sncity,Nicountry,0.0
Stcity,Nicountry,0.0
Thcity,Nicountry,0.0
Bbcountry,Nwcountry,0.0
Becountry,Nwcountry,0.0
Bwcountry,Nwcountry,0.0
Bycountry,Nwcountry,0.0
Hbcountry,Nwcountry,0.0
Hecountry,Nwcountry,0.0
Hhcountry,Nwcountry,0.0
Mvcountry,Nwcountry,0.0
Nicountry,Nwcountry,0.0
Nwcountry,Nwcountry,0.0
Rpcountry,Nwcountry,0.0
Shcountry,Nwcountry,0.0
Slcountry,Nwcountry,0.0
Sncountry,Nwcountry,0.0
Stcountry,Nwcountry,0.0
Thcountry,Nwcountry,0.0
Bbcity,Nwcountry,0.0
Becity,Nwcountry,0.0
Bwcity,Nwcountry,0.0
Bycity,Nwcountry,0.0
Hbcity,Nwcountry,0.0
Hecity,Nwcountry,0.0
Hhcity,Nwcountry,0.0
Mvcity,Nwcountry,0.0
Nicity,Nwcountry,0.0
Nwcity,Nwcountry,0.0
Rpcity,Nwcountry,0.0
Shcity,Nwcountry,0.0
Slcity,Nwcountry,0.0
Sncity,Nwcountry,0.0
Stcity,Nwcountry,0.0
Thcity,Nwcountry,0.0
Bbcountry,Rpcountry,0.0
Becountry,Rpcountry,0.0
Bwcountry,Rpcountry,0.0
Bycountry,Rpcountry,0.0
Hbcountry,Rpcountry,0.0
Hecountry,Rpcountry,0.0
Hhcountry,Rpcountry,0.0
Mvcountry,Rpcountry,0.0
Nicountry,Rpcountry,0.0
Nwcountry,Rpcountry,0.0
Rpcountry,Rpcountry,0.0
Shcountry,Rpcountry,0.0
Slcountry,Rpcountry,0.0
Sncountry,Rpcountry,0.0
Stcountry,Rpcountry,0.0
Thcountry,Rpcountry,0.0
Bbcity,Rpcountry,0.0
Becity,Rpcountry,0.0
Bwcity,Rpcountry,0.0
Bycity,Rpcountry,0.0
Hbcity,Rpcountry,0.0
Hecity,Rpcountry,0.0
Hhcity,Rpcountry,0.0
Mvcity,Rpcountry,0.0
Nicity,Rpcountry,0.0
Nwcity,Rpcountry,0.0
Rpcity,Rpcountry,0.0
Shcity,Rpcountry,0.0
Slcity,Rpcountry,0.0
Sncity,Rpcountry,0.0
Stcity,Rpcountry,0.0
Thcity,Rpcountry,0.0
Bbcountry,Shcountry,0.0
Becountry,Shcountry,0.0
Bwcountry,Shcountry,0.0
Bycountry,Shcountry,0.0
Hbcountry,Shcountry,0.0
Hecountry,Shcountry,0.0
Hhcountry,Shcountry,0.0
Mvcountry,Shcountry,0.0
Nicountry,Shcountry,0.0
Nwcountry,Shcountry,0.0
Rpcountry,Shcountry,0.0
Shcountry,Shcountry,0.0
Slcountry,Shcountry,0.0
Sncountry,Shcountry,0.0
Stcountry,Shcountry,0.0
Thcountry,Shcountry,0.0
Bbcity,Shcountry,0.0
Becity,Shcountry,0.0
Bwcity,Shcountry,0.0
Bycity,Shcountry,0.0
Hbcity,Shcountry,0.0
Hecity,Shcountry,0.0
Hhcity,Shcountry,0.0
Mvcity,Shcountry,0.0
Nicity,Shcountry,0.0
Nwcity,Shcountry,0.0
Rpcity,Shcountry,0.0
Shcity,Shcountry,0.0
Slcity,Shcountry,0.0
Sncity,Shcountry,0.0
Stcity,Shcountry,0.0
Thcity,Shcountry,0.0
Bbcountry,Slcountry,0.0
Becountry,Slcountry,0.0
Bwcountry,Slcountry,0.0
Bycountry,Slcountry,0.0
Hbcountry,Slcountry,0.0
Hecountry,Slcountry,0.0
Hhcountry,Slcountry,0.0
Mvcountry,Slcountry,0.0
Nicountry,Slcountry,0.0
