region,hour,Power
Slcountry,13,1.4351527936313213
Slcountry,14,1.415398194063825
Slcountry,15,1.3925770753385154
Slcountry,16,1.3531123180332216
Slcountry,17,1.3424239457488416
Slcountry,18,1.3240026151759927
Slcountry,19,1.293159663330905
Slcountry,20,1.2442731394036772
Slcountry,21,1.2090526209086316
Slcountry,22,1.1536775216775732
Slcountry,23,1.0551933974960939
Sncity,0,0.9938009380099255
Sncity,1,0.9588963280993125
Sncity,2,0.9416631848879612
Sncity,3,0.9445238409477708
Sncity,4,0.9672014566668432
Sncity,5,1.026813825621604
Sncity,6,1.166155430532926
Sncity,7,1.2998449338377003
Sncity,8,1.3808891487993367
Sncity,9,1.425344658209869
Sncity,10,1.4707460287698688
Sncity,11,1.5138865579551337
Sncity,12,1.5009443994435925
Sncity,13,1.4899631737440566
Sncity,14,1.4694541199358169
Sncity,15,1.4457614325542065
Sncity,16,1.4047894640595822
Sncity,17,1.3936928887251208
Sncity,18,1.3745680232148347
Sncity,19,1.3425471383148626
Sncity,20,1.291793573490852
Sncity,21,1.2552279368905792
Sncity,22,1.197737989504604
Sncity,23,1.0954926265857508
Sncountry,0,1.6798175816039906
Sncountry,1,1.6208184650160256
Sncountry,2,1.591689354903998
Sncountry,3,1.5965247099136368
Sncountry,4,1.6348565892033067
Sncountry,5,1.7356191278780997
Sncountry,6,1.9711476616382666
Sncountry,7,2.197122471620808
Sncountry,8,2.334111170235309
Sncountry,9,2.409254132423002
Sncountry,10,2.4859958797676236
Sncountry,11,2.558916136363703
Sncountry,12,2.537040059797376
Sncountry,13,2.518478539786557
Sncountry,14,2.483812171652379
Sncountry,15,2.4437645209641294
Sncountry,16,2.3745097734610563
Sncountry,17,2.3557532784433035
Sncountry,18,2.3234265980174196
Sncountry,19,2.2693018297904914
Sncountry,20,2.1835132907987935
Sncountry,21,2.1217065477233836
Sncountry,22,2.024531529376314
Sncountry,23,1.8517066187734874
Stcity,0,0.5841980747932155
Stcity,1,0.5636796740438447
Stcity,2,0.5535493061787596
Stcity,3,0.5552309203721741
Stcity,4,0.5685617786328957
Stcity,5,0.6036044414492255
Stcity,6,0.6855153093246373
Stcity,7,0.7641036336696584
Stcity,8,0.811744838807304
Stcity,9,0.837877660802412
Stcity,10,0.8645664998442005
Stcity,11,0.8899263210434641
Stcity,12,0.8823183748271411
Stcity,13,0.8758631475606171
Stcity,14,0.8638070613844493
Stcity,15,0.849879501220609
Stcity,16,0.8257944513886186
Stcity,17,0.819271416745311
Stcity,18,0.8080290147868651
Stcity,19,0.7892057891324412
Stcity,20,0.7593707047357071
Stcity,21,0.7378758824947017
Stcity,22,0.7040808685253
Stcity,23,0.6439767351026254
Stcountry,0,2.067345033926287
Stcountry,1,1.9947350481636057
Stcountry,2,1.9588859644343533
Stcountry,3,1.9648368172387998
Stcountry,4,2.01201171358373
Stcountry,5,2.1360197822076055
Stcountry,6,2.4258838424182874
Stcountry,7,2.7039901715375256
Stcountry,8,2.87258163580491
Stcountry,9,2.9650597902274307
Stcountry,10,3.059505563390633
Stcountry,11,3.1492482425942807
Stcountry,12,3.122325439340845
Stcountry,13,3.099481848086222
Stcountry,14,3.0568180822158704
Stcountry,15,3.007531592612808
Stcountry,16,2.922300041345445
Stcountry,17,2.899216495100031
Stcountry,18,2.8594321738894157
Stcountry,19,2.792821029898705
Stcountry,20,2.687241405066507
Stcountry,21,2.6111760841891662
Stcountry,22,2.491583163028236
