StartRegion,DestRegion,Drive
Hhcountry,Stcity,0.0
Mvcountry,Stcity,0.0
Nicountry,Stcity,0.073
Nwcountry,Stcity,0.0
Rpcountry,Stcity,0.0
Shcountry,Stcity,0.0
Slcountry,Stcity,0.0
Sncountry,Stcity,0.043
Stcountry,Stcity,0.023
Thcountry,Stcity,0.079
Bbcity,Stcity,0.12
Becity,Stcity,0.0
Bwcity,Stcity,0.0
Bycity,Stcity,0.0
Hbcity,Stcity,0.0
Hecity,Stcity,0.262
Hhcity,Stcity,0.0
Mvcity,Stcity,0.0
Nicity,Stcity,0.115
Nwcity,Stcity,0.0
Rpcity,Stcity,0.0
Shcity,Stcity,0.0
Slcity,Stcity,0.0
Sncity,Stcity,0.052
Stcity,Stcity,0.044
Thcity,Stcity,0.101
Bbcountry,Thcity,0.188
Becountry,Thcity,0.0
Bwcountry,Thcity,0.0
Bycountry,Thcity,0.155
Hbcountry,Thcity,0.0
Hecountry,Thcity,0.031
Hhcountry,Thcity,0.0
Mvcountry,Thcity,0.0
Nicountry,Thcity,0.0
Nwcountry,Thcity,0.0
Rpcountry,Thcity,0.0
Shcountry,Thcity,0.0
Slcountry,Thcity,0.0
Sncountry,Thcity,0.101
Stcountry,Thcity,0.052
Thcountry,Thcity,0.025
Bbcity,Thcity,0.217
Becity,Thcity,0.0
Bwcity,Thcity,0.0
Bycity,Thcity,0.241
Hbcity,Thcity,0.0
Hecity,Thcity,0.169
Hhcity,Thcity,0.0
Mvcity,Thcity,0.0
Nicity,Thcity,0.0
Nwcity,Thcity,0.0
Rpcity,Thcity,0.0
Shcity,Thcity,0.0
Slcity,Thcity,0.0
Sncity,Thcity,0.099
Stcity,Thcity,0.097
Thcity,Thcity,0.035
Bbcountry,Bbcountry,0.0
Becountry,Bbcountry,0.0
Bwcountry,Bbcountry,0.0
Bycountry,Bbcountry,0.0
Hbcountry,Bbcountry,0.0
Hecountry,Bbcountry,0.0
Hhcountry,Bbcountry,0.0
Mvcountry,Bbcountry,0.0
Nicountry,Bbcountry,0.0
Nwcountry,Bbcountry,0.0
Rpcountry,Bbcountry,0.0
Shcountry,Bbcountry,0.0
Slcountry,Bbcountry,0.0
Sncountry,Bbcountry,0.0
Stcountry,Bbcountry,0.0
Thcountry,Bbcountry,0.0
Bbcity,Bbcountry,0.0
Becity,Bbcountry,0.0
Bwcity,Bbcountry,0.0
Bycity,Bbcountry,0.0
Hbcity,Bbcountry,0.0
Hecity,Bbcountry,0.0
Hhcity,Bbcountry,0.0
Mvcity,Bbcountry,0.0
Nicity,Bbcountry,0.0
Nwcity,Bbcountry,0.0
Rpcity,Bbcountry,0.0
Shcity,Bbcountry,0.0
