country,Plant,hour,value
Mvcountry,Solar PV,23,0.0
Slcountry,Solar PV,23,0.0
Stcountry,Solar PV,23,0.0
Shcountry,Solar PV,23,0.0
Thcountry,Solar PV,23,0.0
Bwcountry,Solar PV,23,0.0
Bycountry,Solar PV,23,0.0
Hecountry,Solar PV,23,0.0
Nicountry,Solar PV,23,0.0
Nwcountry,Solar PV,23,0.0
Rpcountry,Solar PV,23,0.0
Sncountry,Solar PV,23,0.0
Becountry,Onshore,0,0.1289
Bbcountry,Onshore,0,0.1695
Hbcountry,Onshore,0,0.1048
Hhcountry,Onshore,0,0.0967
Mvcountry,Onshore,0,0.3442
Slcountry,Onshore,0,0.0401
Stcountry,Onshore,0,0.1953
Shcountry,Onshore,0,0.3453
Thcountry,Onshore,0,0.2143
Bwcountry,Onshore,0,0.106825
Bycountry,Onshore,0,0.111814285714286
Hecountry,Onshore,0,0.1076
Nicountry,Onshore,0,0.11485
Nwcountry,Onshore,0,0.1412
Rpcountry,Onshore,0,0.0446333333333333
Sncountry,Onshore,0,0.2165
Becountry,Onshore,1,0.1142
Bbcountry,Onshore,1,0.1516
Hbcountry,Onshore,1,0.1101
Hhcountry,Onshore,1,0.1033
Mvcountry,Onshore,1,0.3141
Slcountry,Onshore,1,0.047
Stcountry,Onshore,1,0.1697
Shcountry,Onshore,1,0.2945
Thcountry,Onshore,1,0.1918
Bwcountry,Onshore,1,0.1104
Bycountry,Onshore,1,0.0899428571428571
Hecountry,Onshore,1,0.092
Nicountry,Onshore,1,0.115375
Nwcountry,Onshore,1,0.1399
Rpcountry,Onshore,1,0.0352333333333333
Sncountry,Onshore,1,0.195566666666667
Becountry,Onshore,2,0.0826
Bbcountry,Onshore,2,0.1301
Hbcountry,Onshore,2,0.1044
Hhcountry,Onshore,2,0.1005
Mvcountry,Onshore,2,0.2816
Slcountry,Onshore,2,0.0628
Stcountry,Onshore,2,0.1494
Shcountry,Onshore,2,0.2599
Thcountry,Onshore,2,0.1808
Bwcountry,Onshore,2,0.12295
Bycountry,Onshore,2,0.0815571428571429
Hecountry,Onshore,2,0.0645666666666667
Nicountry,Onshore,2,0.1128
Nwcountry,Onshore,2,0.12526
Rpcountry,Onshore,2,0.0345666666666667
Sncountry,Onshore,2,0.171166666666667
Becountry,Onshore,3,0.0698
Bbcountry,Onshore,3,0.1197
Hbcountry,Onshore,3,0.0955
Hhcountry,Onshore,3,0.0869
Mvcountry,Onshore,3,0.2639
Slcountry,Onshore,3,0.0786
Stcountry,Onshore,3,0.1384
Shcountry,Onshore,3,0.2328
Thcountry,Onshore,3,0.1695
Bwcountry,Onshore,3,0.134125
Bycountry,Onshore,3,0.0852142857142857
Hecountry,Onshore,3,0.0422666666666667
Nicountry,Onshore,3,0.109775
Nwcountry,Onshore,3,0.09982
Rpcountry,Onshore,3,0.0425666666666667
Sncountry,Onshore,3,0.1513
Becountry,Onshore,4,0.0666
Bbcountry,Onshore,4,0.1108
Hbcountry,Onshore,4,0.099
Hhcountry,Onshore,4,0.0842
Mvcountry,Onshore,4,0.2519
Slcountry,Onshore,4,0.087
Stcountry,Onshore,4,0.1335
Shcountry,Onshore,4,0.2235
Thcountry,Onshore,4,0.1432
Bwcountry,Onshore,4,0.140325
Bycountry,Onshore,4,0.103528571428571
Hecountry,Onshore,4,0.0325666666666667
Nicountry,Onshore,4,0.112475
Nwcountry,Onshore,4,0.07188
Rpcountry,Onshore,4,0.0537666666666667
Sncountry,Onshore,4,0.137766666666667
Becountry,Onshore,5,0.0637
Bbcountry,Onshore,5,0.1034
Hbcountry,Onshore,5,0.1037
Hhcountry,Onshore,5,0.0858
Mvcountry,Onshore,5,0.2354
Slcountry,Onshore,5,0.0888
Stcountry,Onshore,5,0.1333
Shcountry,Onshore,5,0.219
Thcountry,Onshore,5,0.1157
Bwcountry,Onshore,5,0.149425
Bycountry,Onshore,5,0.136542857142857
Hecountry,Onshore,5,0.0340333333333333
Nicountry,Onshore,5,0.110575
Nwcountry,Onshore,5,0.05392
Rpcountry,Onshore,5,0.0668333333333333
Sncountry,Onshore,5,0.128666666666667
Becountry,Onshore,6,0.0648
Bbcountry,Onshore,6,0.0979
Hbcountry,Onshore,6,0.1159
Hhcountry,Onshore,6,0.0915
Mvcountry,Onshore,6,0.2175
Slcountry,Onshore,6,0.0991
Stcountry,Onshore,6,0.1344
Shcountry,Onshore,6,0.2151
Thcountry,Onshore,6,0.0993
Bwcountry,Onshore,6,0.155825
Bycountry,Onshore,6,0.169571428571429
Hecountry,Onshore,6,0.0487333333333333
Nicountry,Onshore,6,0.110325
Nwcountry,Onshore,6,0.04372
Rpcountry,Onshore,6,0.0781666666666667
Sncountry,Onshore,6,0.120066666666667
Becountry,Onshore,7,0.0587
Bbcountry,Onshore,7,0.0837
Hbcountry,Onshore,7,0.1231
Hhcountry,Onshore,7,0.0911
Mvcountry,Onshore,7,0.1954
Slcountry,Onshore,7,0.0774
Stcountry,Onshore,7,0.1205
Shcountry,Onshore,7,0.2161
Thcountry,Onshore,7,0.0904
Bwcountry,Onshore,7,0.13445
Bycountry,Onshore,7,0.158342857142857
Hecountry,Onshore,7,0.0688666666666667
Nicountry,Onshore,7,0.105025
Nwcountry,Onshore,7,0.03688
Rpcountry,Onshore,7,0.0778
Sncountry,Onshore,7,0.0959333333333333
Becountry,Onshore,8,0.0302
Bbcountry,Onshore,8,0.0503
Hbcountry,Onshore,8,0.1048
Hhcountry,Onshore,8,0.0691
Mvcountry,Onshore,8,0.1689
Slcountry,Onshore,8,0.0877
Stcountry,Onshore,8,0.0615
Shcountry,Onshore,8,0.2163
Thcountry,Onshore,8,0.0636
Bwcountry,Onshore,8,0.0988
Bycountry,Onshore,8,0.0844857142857143
Hecountry,Onshore,8,0.0832
Nicountry,Onshore,8,0.0796
Nwcountry,Onshore,8,0.02372
Rpcountry,Onshore,8,0.0850666666666667
Sncountry,Onshore,8,0.0451666666666667
Becountry,Onshore,9,0.0092
Bbcountry,Onshore,9,0.0228
Hbcountry,Onshore,9,0.1109
Hhcountry,Onshore,9,0.0673
Mvcountry,Onshore,9,0.1423
Slcountry,Onshore,9,0.0953
Stcountry,Onshore,9,0.0331
Shcountry,Onshore,9,0.2465
Thcountry,Onshore,9,0.0654
Bwcountry,Onshore,9,0.071225
Bycountry,Onshore,9,0.0736428571428571
Hecountry,Onshore,9,0.086
Nicountry,Onshore,9,0.078625
Nwcountry,Onshore,9,0.02134
Rpcountry,Onshore,9,0.0898333333333333
Sncountry,Onshore,9,0.0226666666666667
Becountry,Onshore,10,0.0072
Bbcountry,Onshore,10,0.0195
Hbcountry,Onshore,10,0.1213
Hhcountry,Onshore,10,0.0848
Mvcountry,Onshore,10,0.1189
Slcountry,Onshore,10,0.0847
Stcountry,Onshore,10,0.0404
Shcountry,Onshore,10,0.2802
Thcountry,Onshore,10,0.1033
Bwcountry,Onshore,10,0.085225
Bycountry,Onshore,10,0.107357142857143
Hecountry,Onshore,10,0.121166666666667
Nicountry,Onshore,10,0.09105
Nwcountry,Onshore,10,0.02854
Rpcountry,Onshore,10,0.0913333333333333
Sncountry,Onshore,10,0.0162666666666667
Becountry,Onshore,11,0.0125
Bbcountry,Onshore,11,0.0219
Hbcountry,Onshore,11,0.1263
Hhcountry,Onshore,11,0.0837
Mvcountry,Onshore,11,0.0983
Slcountry,Onshore,11,0.0828
Stcountry,Onshore,11,0.0393
Shcountry,Onshore,11,0.2989
Thcountry,Onshore,11,0.1022
Bwcountry,Onshore,11,0.08515
Bycountry,Onshore,11,0.0881428571428571
Hecountry,Onshore,11,0.135733333333333
Nicountry,Onshore,11,0.099025
Nwcountry,Onshore,11,0.03346
Rpcountry,Onshore,11,0.0771
Sncountry,Onshore,11,0.0152333333333333
Becountry,Onshore,12,0.0151
Bbcountry,Onshore,12,0.0237
Hbcountry,Onshore,12,0.1081
Hhcountry,Onshore,12,0.0621
Mvcountry,Onshore,12,0.0831
Slcountry,Onshore,12,0.0759
Stcountry,Onshore,12,0.0345
Shcountry,Onshore,12,0.3053
Thcountry,Onshore,12,0.0759
Bwcountry,Onshore,12,0.06545
Bycountry,Onshore,12,0.0622285714285714
Hecountry,Onshore,12,0.119833333333333
Nicountry,Onshore,12,0.0963
Nwcountry,Onshore,12,0.03462
Rpcountry,Onshore,12,0.0639333333333333
Sncountry,Onshore,12,0.0150666666666667
Becountry,Onshore,13,0.0145
Bbcountry,Onshore,13,0.0216
Hbcountry,Onshore,13,0.0737
