country,Plant,hour,value
Stcountry,Onshore,20,0.0055
Shcountry,Onshore,20,0.0694
Thcountry,Onshore,20,0.0372
Bwcountry,Onshore,20,0.0305
Bycountry,Onshore,20,0.0353142857142857
Hecountry,Onshore,20,0.0372
Nicountry,Onshore,20,0.0697
Nwcountry,Onshore,20,0.03558
Rpcountry,Onshore,20,0.0601666666666667
Sncountry,Onshore,20,0.0045
Becountry,Onshore,21,0.0078
Bbcountry,Onshore,21,0.0202
Hbcountry,Onshore,21,0.0235
Hhcountry,Onshore,21,0.0765
Mvcountry,Onshore,21,0.0793
Slcountry,Onshore,21,0.0405
Stcountry,Onshore,21,0.0142
Shcountry,Onshore,21,0.0819
Thcountry,Onshore,21,0.0387
Bwcountry,Onshore,21,0.02905
Bycountry,Onshore,21,0.0365714285714286
Hecountry,Onshore,21,0.0253666666666667
Nicountry,Onshore,21,0.067675
